"Libellé";"Prix moyens mensuels de vente au détail en métropole - Supercarburant sans plomb 95-E10 (1 litre)";"Codes"
"idBank";"010596132";""
"Dernière mise à jour";"12/01/2024 08:45";""
"Période";"";""
"2023-12";"1.79";"A"
"2023-11";"1.83";"A"
"2023-10";"1.87";"A"
"2023-09";"1.95";"A"
"2023-08";"1.93";"A"
"2023-07";"1.84";"A"
"2023-06";"1.86";"A"
"2023-05";"1.85";"A"
"2023-04";"1.93";"A"
"2023-03";"1.9";"A"
"2023-02";"1.89";"A"
"2023-01";"1.86";"A"
"2022-12";"1.65";"A"
"2022-11";"1.68";"A"
"2022-10";"1.62";"A"
"2022-09";"1.51";"A"
"2022-08";"1.77";"A"
"2022-07";"1.95";"A"
"2022-06";"2.08";"A"
"2022-05";"1.89";"A"
"2022-04";"1.76";"A"
"2022-03";"1.96";"A"
"2022-02";"1.77";"A"
"2022-01";"1.69";"A"
"2021-12";"1.61";"A"
"2021-11";"1.65";"A"
"2021-10";"1.63";"A"
"2021-09";"1.57";"A"
"2021-08";"1.57";"A"
"2021-07";"1.56";"A"
"2021-06";"1.53";"A"
"2021-05";"1.51";"A"
"2021-04";"1.51";"A"
"2021-03";"1.5";"A"
"2021-02";"1.45";"A"
"2021-01";"1.4";"A"
"2020-12";"1.35";"O"
"2020-11";"1.33";"A"
"2020-10";"1.33";"A"
"2020-09";"1.33";"A"
"2020-08";"1.33";"A"
"2020-07";"1.34";"A"
"2020-06";"1.31";"A"
"2020-05";"1.25";"A"
"2020-04";"1.27";"A"
"2020-03";"1.39";"A"
"2020-02";"1.49";"A"
"2020-01";"1.53";"A"
"2019-12";"1.51";"A"
"2019-11";"1.49";"A"
"2019-10";"1.48";"A"
"2019-09";"1.48";"A"
"2019-08";"1.48";"A"
"2019-07";"1.5";"A"
"2019-06";"1.51";"A"
"2019-05";"1.56";"A"
"2019-04";"1.54";"A"
"2019-03";"1.47";"A"
"2019-02";"1.43";"A"
"2019-01";"1.4";"A"
