"Libellé";"Prix moyens mensuels de vente au détail en métropole - Supercarburant sans plomb, indice d'octane 98 (1 litre)";"Codes"
"idBank";"000442589";""
"Dernière mise à jour";"12/01/2024 08:45";""
"Période";"";""
"2023-12";"1.87";"A"
"2023-11";"1.91";"A"
"2023-10";"1.94";"A"
"2023-09";"2.02";"A"
"2023-08";"1.99";"A"
"2023-07";"1.91";"A"
"2023-06";"1.94";"A"
"2023-05";"1.93";"A"
"2023-04";"2.0";"A"
"2023-03";"1.98";"A"
"2023-02";"1.98";"A"
"2023-01";"1.94";"A"
"2022-12";"1.76";"A"
"2022-11";"1.79";"A"
"2022-10";"1.73";"A"
"2022-09";"1.63";"A"
"2022-08";"1.88";"A"
"2022-07";"2.07";"A"
"2022-06";"2.19";"A"
"2022-05";"1.98";"A"
"2022-04";"1.87";"A"
"2022-03";"2.05";"A"
"2022-02";"1.86";"A"
"2022-01";"1.77";"A"
"2021-12";"1.7";"A"
"2021-11";"1.74";"A"
"2021-10";"1.71";"A"
"2021-09";"1.65";"A"
"2021-08";"1.65";"A"
"2021-07";"1.65";"A"
"2021-06";"1.6";"A"
"2021-05";"1.59";"A"
"2021-04";"1.59";"A"
"2021-03";"1.57";"A"
"2021-02";"1.52";"A"
"2021-01";"1.47";"A"
"2020-12";"1.42";"O"
"2020-11";"1.39";"A"
"2020-10";"1.4";"A"
"2020-09";"1.4";"A"
"2020-08";"1.4";"A"
"2020-07";"1.41";"A"
"2020-06";"1.37";"A"
"2020-05";"1.31";"A"
"2020-04";"1.35";"A"
"2020-03";"1.47";"A"
"2020-02";"1.56";"A"
"2020-01";"1.6";"A"
"2019-12";"1.58";"A"
"2019-11";"1.56";"A"
"2019-10";"1.55";"A"
"2019-09";"1.55";"A"
"2019-08";"1.56";"A"
"2019-07";"1.57";"A"
"2019-06";"1.59";"A"
"2019-05";"1.64";"A"
"2019-04";"1.61";"A"
"2019-03";"1.54";"A"
"2019-02";"1.5";"A"
"2019-01";"1.48";"A"
"2018-12";"1.5";"A"
"2018-11";"1.55";"A"
"2018-10";"1.63";"A"
"2018-09";"1.62";"A"
"2018-08";"1.61";"A"
"2018-07";"1.6";"A"
"2018-06";"1.62";"A"
"2018-05";"1.6";"A"
"2018-04";"1.55";"A"
"2018-03";"1.52";"A"
"2018-02";"1.53";"A"
"2018-01";"1.54";"A"
"2017-12";"1.48";"A"
"2017-11";"1.47";"A"
"2017-10";"1.43";"A"
"2017-09";"1.44";"A"
"2017-08";"1.41";"A"
"2017-07";"1.39";"A"
"2017-06";"1.42";"A"
"2017-05";"1.44";"A"
"2017-04";"1.47";"A"
"2017-03";"1.46";"A"
"2017-02";"1.48";"A"
"2017-01";"1.48";"A"
"2016-12";"1.38";"A"
"2016-11";"1.38";"A"
"2016-10";"1.37";"A"
"2016-09";"1.34";"A"
"2016-08";"1.33";"A"
"2016-07";"1.38";"A"
"2016-06";"1.41";"A"
"2016-05";"1.37";"A"
"2016-04";"1.34";"A"
"2016-03";"1.29";"A"
"2016-02";"1.29";"A"
"2016-01";"1.32";"A"
"2015-12";"1.34";"A"
"2015-11";"1.35";"A"
"2015-10";"1.35";"A"
"2015-09";"1.37";"A"
"2015-08";"1.43";"A"
"2015-07";"1.49";"A"
"2015-06";"1.49";"A"
"2015-05";"1.49";"A"
"2015-04";"1.46";"A"
"2015-03";"1.44";"A"
"2015-02";"1.39";"A"
"2015-01";"1.33";"A"
"2014-12";"1.43";"A"
"2014-11";"1.49";"A"
"2014-10";"1.53";"A"
"2014-09";"1.55";"A"
"2014-08";"1.56";"A"
"2014-07";"1.59";"A"
"2014-06";"1.58";"A"
