,prix_maj,prix_valeur,prix_nom
10,2024-01-03 07:35:20+00:00,0.848,E85
11,2024-01-15 19:31:00+00:00,0.999,E85
25,2024-01-16 07:53:53+00:00,0.952,E85
35,2024-01-16 08:10:08+00:00,0.853,E85
57,2024-01-12 23:59:00+00:00,0.899,E85
60,2024-01-13 08:19:22+00:00,0.925,GPLc
64,2024-01-11 03:01:00+00:00,0.899,E85
70,2024-01-15 19:31:00+00:00,0.899,E85
76,2024-01-15 19:31:00+00:00,0.899,E85
83,2024-01-16 08:22:59+00:00,1.061,GPLc
88,2024-01-11 08:39:32+00:00,0.939,E85
104,2024-01-05 08:26:10+00:00,0.979,E85
106,2024-01-15 19:31:00+00:00,0.899,E85
109,2024-01-15 19:31:00+00:00,0.899,E85
115,2024-01-15 12:06:00+00:00,1.054,GPLc
128,2024-01-16 08:49:44+00:00,0.98,E85
131,2024-01-03 09:37:39+00:00,0.992,E85
132,2023-12-08 10:30:18+00:00,0.949,E85
143,2024-01-16 07:42:33+00:00,0.929,E85
155,2024-01-04 12:40:00+00:00,1.029,E85
166,2024-01-16 11:19:00+00:00,0.975,GPLc
170,2024-01-15 19:31:00+00:00,0.899,E85
173,2023-08-16 17:03:13+00:00,1.0,GPLc
176,2024-01-03 23:56:00+00:00,0.981,E85
177,2023-12-22 07:15:00+00:00,0.959,E85
199,2023-10-17 11:57:14+00:00,1.202,E85
201,2024-01-15 19:31:00+00:00,0.899,E85
213,2024-01-08 11:59:05+00:00,0.848,E85
214,2024-01-12 10:24:03+00:00,0.899,E85
224,2024-01-15 08:55:19+00:00,0.899,E85
225,2024-01-15 19:31:00+00:00,0.989,GPLc
226,2024-01-15 19:31:00+00:00,1.054,GPLc
227,2024-01-09 09:20:35+00:00,0.904,E85
240,2024-01-16 08:29:25+00:00,0.848,E85
261,2024-01-15 19:31:00+00:00,0.899,E85
266,2024-01-16 05:30:00+00:00,0.949,E85
274,2024-01-15 19:31:00+00:00,0.899,E85
287,2023-11-23 08:58:46+00:00,1.11,E85
289,2023-12-07 11:27:45+00:00,0.979,E85
291,2024-01-15 19:31:00+00:00,0.919,E85
307,2023-12-14 09:00:00+00:00,0.999,E85
318,2024-01-16 11:29:37+00:00,0.909,E85
324,2024-01-15 10:28:05+00:00,0.942,E85
325,2023-10-24 11:04:19+00:00,1.029,E85
332,2024-01-15 10:21:49+00:00,0.899,E85
338,2024-01-15 19:31:00+00:00,0.919,E85
