prix_maj;prix_valeur;prix_nom
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-03T08:35:20+01:00;0.848;E85
2024-01-15T20:31:00+01:00;0.999;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T08:53:53+01:00;0.952;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:10:08+01:00;0.853;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-13T00:59:00+01:00;0.899;E85
;;
;;
2024-01-13T09:19:22+01:00;0.925;GPLc
;;
;;
;;
2024-01-11T04:01:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
2024-01-16T09:22:59+01:00;1.061;GPLc
;;
;;
;;
;;
2024-01-11T09:39:32+01:00;0.939;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-05T09:26:10+01:00;0.979;E85
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2024-01-15T13:06:00+01:00;1.054;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:49:44+01:00;0.98;E85
;;
;;
2024-01-03T10:37:39+01:00;0.992;E85
2023-12-08T11:30:18+01:00;0.949;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T08:42:33+01:00;0.929;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-04T13:40:00+01:00;1.029;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T12:19:00+01:00;0.975;GPLc
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
2023-08-16T19:03:13+02:00;1.0;GPLc
;;
;;
2024-01-04T00:56:00+01:00;0.981;E85
2023-12-22T08:15:00+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-10-17T13:57:14+02:00;1.202;E85
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-08T12:59:05+01:00;0.848;E85
2024-01-12T11:24:03+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T09:55:19+01:00;0.899;E85
2024-01-15T20:31:00+01:00;0.989;GPLc
2024-01-15T20:31:00+01:00;1.054;GPLc
2024-01-09T10:20:35+01:00;0.904;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:29:25+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
2024-01-16T06:30:00+01:00;0.949;E85
;;
;;
;;
;;
;;
;;
;;
